id,session_id,participant_id,task,t_ms,x,y,page_w,page_h,ts_utc,created_at
1590,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,522,0,0,1440,812,2025-11-28 11:26:39.319+00,2025-11-28 11:27:37.425373+00
1591,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,562,0,0,1440,812,2025-11-28 11:26:39.359+00,2025-11-28 11:27:37.425373+00
1592,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,602,0,0,1440,812,2025-11-28 11:26:39.399+00,2025-11-28 11:27:37.425373+00
1593,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,641,115,256,1440,812,2025-11-28 11:26:39.439+00,2025-11-28 11:27:37.425373+00
1594,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,682,166,264,1440,812,2025-11-28 11:26:39.479+00,2025-11-28 11:27:37.425373+00
1595,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,722,194,271,1440,812,2025-11-28 11:26:39.52+00,2025-11-28 11:27:37.425373+00
1596,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,762,232,281,1440,812,2025-11-28 11:26:39.559+00,2025-11-28 11:27:37.425373+00
1597,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,801,256,289,1440,812,2025-11-28 11:26:39.598+00,2025-11-28 11:27:37.425373+00
1598,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,841,257,289,1440,812,2025-11-28 11:26:39.639+00,2025-11-28 11:27:37.425373+00
1599,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,881,257,289,1440,812,2025-11-28 11:26:39.678+00,2025-11-28 11:27:37.425373+00
1600,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,922,257,289,1440,812,2025-11-28 11:26:39.719+00,2025-11-28 11:27:37.425373+00
1601,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,962,257,289,1440,812,2025-11-28 11:26:39.759+00,2025-11-28 11:27:37.425373+00
1602,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,1001,257,289,1440,812,2025-11-28 11:26:39.798+00,2025-11-28 11:27:37.425373+00
1603,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,1042,257,289,1440,812,2025-11-28 11:26:39.839+00,2025-11-28 11:27:37.425373+00
1604,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,1082,257,289,1440,812,2025-11-28 11:26:39.88+00,2025-11-28 11:27:37.425373+00
1605,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,1121,257,289,1440,812,2025-11-28 11:26:39.918+00,2025-11-28 11:27:37.425373+00
1606,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,1162,257,289,1440,812,2025-11-28 11:26:39.96+00,2025-11-28 11:27:37.425373+00
1607,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,1202,257,289,1440,812,2025-11-28 11:26:40+00,2025-11-28 11:27:37.425373+00
1608,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,1241,257,289,1440,812,2025-11-28 11:26:40.039+00,2025-11-28 11:27:37.425373+00
1609,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,1282,257,289,1440,812,2025-11-28 11:26:40.08+00,2025-11-28 11:27:37.425373+00
1610,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,1321,257,289,1440,812,2025-11-28 11:26:40.119+00,2025-11-28 11:27:37.425373+00
1611,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,1361,257,289,1440,812,2025-11-28 11:26:40.159+00,2025-11-28 11:27:37.425373+00
1612,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,1402,257,289,1440,812,2025-11-28 11:26:40.199+00,2025-11-28 11:27:37.425373+00
1613,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,1441,257,289,1440,812,2025-11-28 11:26:40.239+00,2025-11-28 11:27:37.425373+00
1614,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,1481,257,289,1440,812,2025-11-28 11:26:40.279+00,2025-11-28 11:27:37.425373+00
1615,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,1521,257,290,1440,812,2025-11-28 11:26:40.319+00,2025-11-28 11:27:37.425373+00
1616,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,1561,257,290,1440,812,2025-11-28 11:26:40.359+00,2025-11-28 11:27:37.425373+00
1617,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,1602,257,290,1440,812,2025-11-28 11:26:40.4+00,2025-11-28 11:27:37.425373+00
1618,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,1642,257,290,1440,812,2025-11-28 11:26:40.44+00,2025-11-28 11:27:37.425373+00
1619,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,1681,257,290,1440,812,2025-11-28 11:26:40.479+00,2025-11-28 11:27:37.425373+00
1620,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,1721,257,290,1440,812,2025-11-28 11:26:40.519+00,2025-11-28 11:27:37.425373+00
1621,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,1762,257,290,1440,812,2025-11-28 11:26:40.56+00,2025-11-28 11:27:37.425373+00
1622,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,1801,257,290,1440,812,2025-11-28 11:26:40.599+00,2025-11-28 11:27:37.425373+00
1623,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,1842,257,290,1440,812,2025-11-28 11:26:40.639+00,2025-11-28 11:27:37.425373+00
1624,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,1882,257,290,1440,812,2025-11-28 11:26:40.679+00,2025-11-28 11:27:37.425373+00
1625,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,1921,257,290,1440,812,2025-11-28 11:26:40.719+00,2025-11-28 11:27:37.425373+00
1626,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,1962,257,290,1440,812,2025-11-28 11:26:40.759+00,2025-11-28 11:27:37.425373+00
1627,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,2001,257,290,1440,812,2025-11-28 11:26:40.799+00,2025-11-28 11:27:37.425373+00
1628,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,2041,257,290,1440,812,2025-11-28 11:26:40.839+00,2025-11-28 11:27:37.425373+00
1629,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,2082,257,290,1440,812,2025-11-28 11:26:40.88+00,2025-11-28 11:27:37.425373+00
1630,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,2122,257,290,1440,812,2025-11-28 11:26:40.92+00,2025-11-28 11:27:37.425373+00
1631,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,2162,257,290,1440,812,2025-11-28 11:26:40.96+00,2025-11-28 11:27:37.425373+00
1632,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,2201,257,290,1440,812,2025-11-28 11:26:40.998+00,2025-11-28 11:27:37.425373+00
1633,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,2242,257,290,1440,812,2025-11-28 11:26:41.04+00,2025-11-28 11:27:37.425373+00
1634,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,2282,257,290,1440,812,2025-11-28 11:26:41.08+00,2025-11-28 11:27:37.425373+00
1635,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,2322,257,290,1440,812,2025-11-28 11:26:41.12+00,2025-11-28 11:27:37.425373+00
1636,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,2362,257,290,1440,812,2025-11-28 11:26:41.16+00,2025-11-28 11:27:37.425373+00
1637,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,2401,257,290,1440,812,2025-11-28 11:26:41.199+00,2025-11-28 11:27:37.425373+00
1638,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,2442,257,290,1440,812,2025-11-28 11:26:41.239+00,2025-11-28 11:27:37.425373+00
1639,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,2482,257,290,1440,812,2025-11-28 11:26:41.28+00,2025-11-28 11:27:37.425373+00
1640,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,2521,256,280,1440,812,2025-11-28 11:26:41.318+00,2025-11-28 11:27:37.425373+00
1641,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,2561,247,254,1440,812,2025-11-28 11:26:41.359+00,2025-11-28 11:27:37.425373+00
1642,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,2601,224,221,1440,812,2025-11-28 11:26:41.399+00,2025-11-28 11:27:37.425373+00
1643,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,2641,210,201,1440,812,2025-11-28 11:26:41.439+00,2025-11-28 11:27:37.425373+00
1644,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,2681,203,189,1440,812,2025-11-28 11:26:41.479+00,2025-11-28 11:27:37.425373+00
1645,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,2721,196,174,1440,812,2025-11-28 11:26:41.519+00,2025-11-28 11:27:37.425373+00
1646,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,2761,189,166,1440,812,2025-11-28 11:26:41.558+00,2025-11-28 11:27:37.425373+00
1647,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,2801,186,163,1440,812,2025-11-28 11:26:41.599+00,2025-11-28 11:27:37.425373+00
1648,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,2841,185,163,1440,812,2025-11-28 11:26:41.639+00,2025-11-28 11:27:37.425373+00
1649,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,2881,184,162,1440,812,2025-11-28 11:26:41.679+00,2025-11-28 11:27:37.425373+00
1650,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,2922,169,156,1440,812,2025-11-28 11:26:41.72+00,2025-11-28 11:27:37.425373+00
1651,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,2961,152,150,1440,812,2025-11-28 11:26:41.759+00,2025-11-28 11:27:37.425373+00
1652,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,3001,135,142,1440,812,2025-11-28 11:26:41.799+00,2025-11-28 11:27:37.425373+00
1653,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,3042,127,138,1440,812,2025-11-28 11:26:41.84+00,2025-11-28 11:27:37.425373+00
1654,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,3081,123,137,1440,812,2025-11-28 11:26:41.879+00,2025-11-28 11:27:37.425373+00
1655,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,3121,120,136,1440,812,2025-11-28 11:26:41.919+00,2025-11-28 11:27:37.425373+00
1656,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,3161,120,136,1440,812,2025-11-28 11:26:41.959+00,2025-11-28 11:27:37.425373+00
1657,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,3202,120,136,1440,812,2025-11-28 11:26:41.999+00,2025-11-28 11:27:37.425373+00
1658,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,3242,120,136,1440,812,2025-11-28 11:26:42.039+00,2025-11-28 11:27:37.425373+00
1659,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,3282,120,136,1440,812,2025-11-28 11:26:42.08+00,2025-11-28 11:27:37.425373+00
1660,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,3322,120,136,1440,812,2025-11-28 11:26:42.12+00,2025-11-28 11:27:37.425373+00
1661,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,3362,120,136,1440,812,2025-11-28 11:26:42.16+00,2025-11-28 11:27:37.425373+00
1662,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,3401,120,136,1440,812,2025-11-28 11:26:42.199+00,2025-11-28 11:27:37.425373+00
1663,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,3441,120,135,1440,812,2025-11-28 11:26:42.239+00,2025-11-28 11:27:37.425373+00
1664,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,3481,120,135,1440,812,2025-11-28 11:26:42.279+00,2025-11-28 11:27:37.425373+00
1665,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,3522,120,135,1440,812,2025-11-28 11:26:42.32+00,2025-11-28 11:27:37.425373+00
1666,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,3562,120,135,1440,812,2025-11-28 11:26:42.36+00,2025-11-28 11:27:37.425373+00
1667,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,3601,120,135,1440,812,2025-11-28 11:26:42.399+00,2025-11-28 11:27:37.425373+00
1668,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,3642,120,135,1440,812,2025-11-28 11:26:42.44+00,2025-11-28 11:27:37.425373+00
1669,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,3682,120,135,1440,812,2025-11-28 11:26:42.48+00,2025-11-28 11:27:37.425373+00
1670,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,3721,120,135,1440,812,2025-11-28 11:26:42.519+00,2025-11-28 11:27:37.425373+00
1671,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,3761,120,135,1440,812,2025-11-28 11:26:42.559+00,2025-11-28 11:27:37.425373+00
1672,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,3802,120,135,1440,812,2025-11-28 11:26:42.599+00,2025-11-28 11:27:37.425373+00
1673,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,3842,120,136,1440,812,2025-11-28 11:26:42.64+00,2025-11-28 11:27:37.425373+00
1674,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,3882,120,136,1440,812,2025-11-28 11:26:42.68+00,2025-11-28 11:27:37.425373+00
1675,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,3921,120,136,1440,812,2025-11-28 11:26:42.718+00,2025-11-28 11:27:37.425373+00
1676,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,3961,112,137,1440,812,2025-11-28 11:26:42.759+00,2025-11-28 11:27:37.425373+00
1677,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,4001,110,138,1440,812,2025-11-28 11:26:42.799+00,2025-11-28 11:27:37.425373+00
1678,53052eb5-5f4d-4d76-bf12-47e14aab1366,35e66184-3e42-45f7-bf6a-5d675bcac6da,task-2,4041,110,138,1440,812,2025-11-28 11:26:42.839+00,2025-11-28 11:27:37.425373+00
